adulterant,product,category,instances
cadmium,dried shiitake mushrooms,fruits and vegetables,2
cadmium,dried shitake mushrooms,fruits and vegetables,2
ponceau 4r / cochineal red a,pickled ginger in brine,herbs and spices,2
ponceau 4r / cochineal red a,sausage,meat and meat products (other than poultry),2
ponceau 4r / cochineal red a,strawberries in syrup,fruits and vegetables,2
cadmium,food supplement,"dietetic foods, food supplements, fortified foods",2
polycyclic aromatic hydrocarbons,husk oil,fats and oils,2
mercury,frozen blue shark,fish and fish products,2
ponceau 4r / cochineal red a,sugar cake decoration,confectionery,2
cadmium,frozen leaf spinach,fruits and vegetables,2
residue level above mrl for copper,wine leaves,fruits and vegetables,2
octopamine hydrochloride,food supplement,"dietetic foods, food supplements, fortified foods",2
mercury,frozen marlin,fish and fish products,2
silver,food supplement,"dietetic foods, food supplements, fortified foods",2
chlorine,mineral water,natural mineral water,2
"nickel, cobalt",food supplement,"dietetic foods, food supplements, fortified foods",2
benzoic acid,mustard,"soups, broths, sauces and condiments",2
mercury,blue shark (prionace glauca),fish and fish products,2
sodium benzoate,energy drink,non-alcoholic beverages,2
mercury,frozen sliced blue shark,fish and fish products,2
benzoic acid,mango nectar,non-alcoholic beverages,2
mercury,and carbon monoxide treatment (429.3 åµg/kg - ppb) of vacuum packed swordfish chunks,fish and fish products,2
benzoic acid,ketchup,"soups, broths, sauces and condiments",2
carrageenan,jelly mini-cups,confectionery,2
benzoic acid,green chilly pickle,fruits and vegetables,2
benzoic acid,grape soft drink,non-alcoholic beverages,2
colour sudan 1,chilli pepper,herbs and spices,2
colour sudan 1,chilli pickle,fruits and vegetables,2
cadmium,frozen whole cleaned cuttlefish (sepia pharaonis),cephalopods and products thereof,2
melamine,roasted peanuts,"nuts, nut products and seeds",2
carmines,mango nectar,non-alcoholic beverages,2
sodium nitrite,sliced smoked salmon,fish and fish products,2
sodium nitrite,"smoked salmon, cured salmon, hot smoked salmon",fish and fish products,2
mercury,frozen snapper (pagrus auratus),fish and fish products,2
sorbic acid,apricot jam,confectionery,2
capsaicin,chilli extract,"soups, broths, sauces and condiments",2
benzoic acid,dried pitted prunes,fruits and vegetables,2
morpholine,lemons,fruits and vegetables,2
colour sudan 1,crushed chillies,herbs and spices,2
cadmium,frozen whole raw prawns (penaeus spp),crustaceans and products thereof,2
morpholine,fresh apples,fruits and vegetables,2
melamine,cream chocolate pie,cereals and bakery products,2
nitrate,lettuce,fruits and vegetables,2
nitrite,carbonated water,non-alcoholic beverages,2
benzoic acid,palm sugar,"soups, broths, sauces and condiments",2
nor-acetildenafil,food supplement,"dietetic foods, food supplements, fortified foods",2
benzoic acid,sparkling beverages,non-alcoholic beverages,2
novel food ingredient mucuna pruriens,food supplement,"dietetic foods, food supplements, fortified foods",2
mercury,chilled scorpion fish (scorpaena scrofa),fish and fish products,2
mercury,chilled red porgy (pagrus pagrus),fish and fish products,2
saccharin,preserved japanese vegetables,fruits and vegetables,2
salicylic acid,candies with corn flavour,confectionery,2
colour rhodamine b,minced red annatto seed,herbs and spices,2
benzoic acid,sauce,"soups, broths, sauces and condiments",2
selenium,food supplement,"dietetic foods, food supplements, fortified foods",2
colour rhodamine b,pickled turnip,fruits and vegetables,2
novel food ingredient creatine derivative,food supplement,"dietetic foods, food supplements, fortified foods",2
mercury,frozen marlin loins (makaira indica),fish and fish products,2
mercury,frozen marlin steak,fish and fish products,2
sibutramine,food supplement for weight loss,"dietetic foods, food supplements, fortified foods",2
colour rose bengal,sweets,confectionery,2
non-dioxin-like polychlorobifenyls,chilled spiny dogfish (squalus acanthias),fish and fish products,2
sibutramine,green coffee food supplement,"dietetic foods, food supplements, fortified foods",2
non-dioxin-like polychlorobifenyls,chilled spiny dogfish (squalius acanthias),fish and fish products,2
sibutramine,herbal slimming tea,"dietetic foods, food supplements, fortified foods",2
nitrite,still natural mineral water,natural mineral water,2
mercury,frozen porbeagle,fish and fish products,2
nitrite,mineral water,natural mineral water,2
sibutramine,slimming food supplement,"dietetic foods, food supplements, fortified foods",2
cadmium,frozen salsifies,fruits and vegetables,2
mercury,chilled fish,fish and fish products,2
sibutramine,slimming tea,"cocoa and cocoa preparations, coffee and tea",2
nitrite,frozen minced meat,meat and meat products (other than poultry),2
mercury,frozen porbeagle (lamna nasus),fish and fish products,2
benzoic acid,fresh tomato sauce,"soups, broths, sauces and condiments",2
benzo(a)pyrene,tuna fillets in olive oil,wild caught fish and products thereof (other than crustaceans and molluscs) - (obsolete),2
benzo(a)pyrene,olive oil - extra virgin,fats and oils,2
aluminium,sweet potato vermicelli,cereals and bakery products,2
sulphite,granulated garlic,fruits and vegetables,2
copper,baby cup silver plated,food contact materials,2
azorubine,pomegranate nectar,non-alcoholic beverages,2
azorubine,pomegranate juice,non-alcoholic beverages,2
tartrazine,noodle chinese style,cereals and bakery products,2
tartrazine,noodle,prepared dishes and snacks,2
erucic acid,pickles,fruits and vegetables,2
hydrogen peroxide,gelatine,meat and meat products (other than poultry),2
tartrazine,grill spices,herbs and spices,2
sulphite,mustard,"soups, broths, sauces and condiments",2
sulphite,norway lobster,crustaceans and products thereof,2
azorubine,carbonated soft drink,non-alcoholic beverages,2
azorubine,candy floss,confectionery,2
tartrazine,flour sticks,cereals and bakery products,2
colour sudan 1,spiced salt,herbs and spices,2
aspartame,"sushi ""ginger""",herbs and spices,2
tartrazine,chinese noodle,prepared dishes and snacks,2
tartrazine,chinese noodle,cereals and bakery products,2
heavy metals,herbal products,herbs and spices,2
aluminium,potato noodle,fruits and vegetables,2
guggulsterone,food supplement,"dietetic foods, food supplements, fortified foods",2
sulphite,pickled lotus rootlets,fruits and vegetables,2
tartrazine,cake decoration,confectionery,2
aluminium,rice noodle,cereals and bakery products,2
tadalafil,chewing gum allegedly,"dietetic foods, food supplements, fortified foods",2
colour sudan 4,pure palm and pure palm zomi oil,fats and oils,2
sulphite,plum chutney,confectionery,2
copper,vine leaves in brine,fruits and vegetables,2
erucic acid,mixed pickle,fruits and vegetables,2
aluminium,bowl noodle,cereals and bakery products,2
tin,canned artichoke hearts,fruits and vegetables,2
tin,canned pineapple in light syrup,fruits and vegetables,2
tin,canned pineapple,fruits and vegetables,2
tin,canned pineapple,food contact materials,2
tin,canned mushrooms,fruits and vegetables,2
iodine,sea algae,fruits and vegetables,2
aliphatic hydrocarbons,dried raisins,fruits and vegetables,2
cyanide,apricot kernels,fruits and vegetables,2
tin,canned chopped tomatoes,food contact materials,2
benzo(a)anthracene,olive- residue oil,fats and oils,2
disodium ethylene diamine tetra acetate,mayonnaise,"soups, broths, sauces and condiments",2
iodine,dried seaweed stripes,fruits and vegetables,2
sulphite,frozen whole raw shrimps (penaeus spp),crustaceans and products thereof,2
benzethonium chloride,grapefruit seed extract (gse),"dietetic foods, food supplements, fortified foods",2
aluminium,bean vermicelli,cereals and bakery products,2
allura red ac,frozen shrimps,crustaceans and products thereof,2
benzethonium chloride,food supplement,"dietetic foods, food supplements, fortified foods",2
ephedrine,iced fruit tea,non-alcoholic beverages,2
benzethonium chloride,dried grapefruit seed extract,"dietetic foods, food supplements, fortified foods",2
sulphite,garlic flakes,fruits and vegetables,2
coumarin,cinnamon capsules,"dietetic foods, food supplements, fortified foods",2
erucic acid,chilli black bean sauce,"soups, broths, sauces and condiments",2
coumarin,breakfast cereals,cereals and bakery products,2
sulphite,garlic powder,herbs and spices,2
erucic acid,hot pepper sauce,"soups, broths, sauces and condiments",2
iodine,dried sea weed,fruits and vegetables,2
allura red ac,strawberry jam,confectionery,2
erythrosine,confectionery,confectionery,2
sunset yellow fcf,pickled vegetable,fruits and vegetables,2
benzo(a)pyrene,coconut oil,fats and oils,2
glutamic acid,japanese vegetables in brine,fruits and vegetables,2
arsenic,and unauthorised placing on the market of natural mineral water,natural mineral water,2
sunset yellow fcf,cookies,cereals and bakery products,2
arsenic,algae powder,fruits and vegetables,2
sunset yellow fcf,confectionery,confectionery,2
amaranth,raspberry soft drink,non-alcoholic beverages,2
arsenic,additive trisodium citrate,food additives and flavourings,2
amaranth,sugar confectionary,confectionery,2
amaranth,sweets,confectionery,2
sulphite,tomatoes - sun dried,fruits and vegetables,2
sulphite,tropical cooked prawns (penaeus vannamei),crustaceans and products thereof,2
colour sudan 1,various spices,herbs and spices,2
lead,fresh onions,fruits and vegetables,2
sulphite,vacuum packed cooked prawns (penaeus vannamei),crustaceans and products thereof,2
sunset yellow fcf,candy,confectionery,2
annato/bixin/norbixin,chilli powder,herbs and spices,2
colour sudan 1,tkemali sauce,"soups, broths, sauces and condiments",2
fast green fcf / fd&c green,cake decoration,confectionery,2
annato/bixin/norbixin,ground paprika,herbs and spices,2
sulphite,wine leaves in brine,fruits and vegetables,2
sulphite,white wine,wine,2
colour sudan 1,tomato sauce,"soups, broths, sauces and condiments",2
annato/bixin/norbixin,mango nectar,non-alcoholic beverages,2
sulphite,whole cinnamon sticks,herbs and spices,2
annato/bixin/norbixin,hot paprika powder,herbs and spices,2
colour sudan 1,turmeric,herbs and spices,2
sulphite,whole pitted sun dried apricot,fruits and vegetables,2
sulphite,wine,wine,2
sulphite,spices,herbs and spices,2
arsenic,ayurvedic food supplement,"dietetic foods, food supplements, fortified foods",2
sulphite,snack crackers,cereals and bakery products,2
fraud with,pork tenderloins labelled as beef tenderloins,meat and meat products (other than poultry),2
sulphite,precooked prawns (penaeus vannamei),crustaceans and products thereof,2
colour sudan 1,spicy sauce,"soups, broths, sauces and condiments",2
aluminium,vermicelli,cereals and bakery products,2
aluminium,vermicelli noodle,cereals and bakery products,2
aluminium,wheat noodle,cereals and bakery products,2
colour sudan 1,sweet chilli powder,herbs and spices,2
erythrosine,juice nectar,non-alcoholic beverages,2
arsenic,e 153 - vegetable carbon,food additives and flavourings,2
erythrosine,lollipop,confectionery,2
sulphite,rose shrimps (parapenaeus longirostris),crustaceans and products thereof,2
sulphite,salty crackers,cereals and bakery products,2
sulphite,sausage,meat and meat products (other than poultry),2
colour sudan 4,curry powder,herbs and spices,2
arsenic,bentonite,food additives and flavourings,2
colour sudan 4,crushed chilli,herbs and spices,2
erythrosine,pickled ginger in vinegar,herbs and spices,2
arsenic,dehydrated seaweeds,"dietetic foods, food supplements, fortified foods",2
colour sudan 1,sweet red pepper,herbs and spices,2
sulphite,shrimps,crustaceans and products thereof,2
erythrosine,prawn flavoured crackers,cereals and bakery products,2
sulphite,shrimps (hymenopenaeus mulleri),crustaceans and products thereof,2
arsenic,bottled water,water for human consumption (other),2
sulphite,shrimps - frozen (penaeus vannamei),crustaceans and products thereof,2
colour sudan 4,chilli powder,herbs and spices,2
arsenic,bentonite clay,"dietetic foods, food supplements, fortified foods",2
colour sudan 3,palm oil,fats and oils,2
benzo(a)pyrene,cocoa,"cocoa and cocoa preparations, coffee and tea",2
hydroxymethylfurfural,honey,honey and royal jelly,2
"tin, cobalt, germanium, vanadium",food supplement,"dietetic foods, food supplements, fortified foods",2
konjac,jelly candies,confectionery,2
tin,food supplement,"dietetic foods, food supplements, fortified foods",2
dioxins,green clay powder and green clay capsules,"dietetic foods, food supplements, fortified foods",2
"vitamin b12, caffeine",and insufficient labelling of energy drink,"dietetic foods, food supplements, fortified foods",2
dehydroepiandrosterone,food supplement,"dietetic foods, food supplements, fortified foods",2
colour sudan 1,red dry threshed pepper,herbs and spices,2
dioxins,milk,milk and milk products,2
acetildenafil,food supplement,"dietetic foods, food supplements, fortified foods",2
colour sudan 1,prepared sauce,"soups, broths, sauces and condiments",2
sulphite,frozen iqf red pud shrimps (solenocera melantho),crustaceans and products thereof,2
diethylene glycol,wine,wine,2
lead,bovine meat,meat and meat products (other than poultry),2
